type,recipe_id,ingredient,amount_sum,units_std,servings,value,amount_per
cupcake,155084,baking powder,0.0416666,cups,12,2 teaspoons baking powder,0.0034722166666666665
cupcake,155084,butter,0.5,cups,12,"1/2 cup butter, at room temperature",0.041666666666666664
cupcake,155084,eggs,3,eggs,12,"3 eggs, room temperature",0.25
cupcake,155084,flour,1.75,cups,12,1 3/4 cups all-purpose flour,0.14583333333333334
cupcake,155084,milk,0.25,cups,12,1/4 cup milk,0.020833333333333332
cupcake,155084,salt,0.01041665,cups,12,1/2 teaspoon salt,8.680541666666666e-4
cupcake,155084,sugar,0.5,cups,12,1/2 cup white sugar,0.041666666666666664
cupcake,155084,unitless,1,NA,12,"2 large bananas, chopped",0.08333333333333333
cupcake,155084,vanilla,0.0208333,cups,12,1 teaspoon vanilla extract,0.0017361083333333333
cupcake,212429,baking soda,0.0208333,cups,30,1 teaspoon baking soda,6.944433333333333e-4
cupcake,212429,butter,1,cups,30,"1 cup butter, softened",0.03333333333333333
cupcake,212429,chocolate,0.5,cups,30,1/2 cup unsweetened cocoa powder,0.016666666666666666
cupcake,212429,eggs,4,eggs,30,4 eggs,0.13333333333333333
cupcake,212429,flour,2.5,cups,30,2 1/2 cups flour,0.08333333333333333
cupcake,212429,milk,0.5,cups,30,1/2 cup milk,0.016666666666666666
cupcake,212429,other,0.125,cups,30,1 (1 ounce) bottle mccormick® red food color,0.004166666666666667
cupcake,212429,salt,0.01041665,cups,30,1/2 teaspoon salt,3.4722166666666663e-4
cupcake,212429,sour cream,1,cups,30,1 cup sour cream,0.03333333333333333
cupcake,212429,sugar,2,cups,30,2 cups sugar,0.06666666666666667
cupcake,212429,vanilla,0.0416666,cups,30,2 teaspoons mccormick® pure vanilla extract,0.0013888866666666665
cupcake,215375,baking powder,0.0416666,cups,32,2 teaspoons argo® baking powder,0.00130208125
cupcake,215375,baking soda,0.0208333,cups,32,1 teaspoon baking soda,6.51040625e-4
cupcake,215375,eggs,4,eggs,32,"4 eggs, slightly beaten",0.125
cupcake,215375,flour,1.75,cups,32,1 3/4 cups all-purpose flour,0.0546875
cupcake,215375,oil,0.75,cups,32,3/4 cup mazola® vegetable plus! oil,0.0234375
cupcake,215375,salt,0.015624975,cups,32,3/4 teaspoon salt,4.8828046875e-4
cupcake,215375,spice,0.0833332,cups,32,4 teaspoons spice islands® pumpkin pie spice,0.0026041625
cupcake,215375,starch,0.25,cups,32,1/4 cup argo® or kingsford's® corn starch,0.0078125
cupcake,215375,sugar,2,cups,32,2 cups sugar,0.0625
cupcake,215375,vegetable,1.875,cups,32,1 (15 ounce) can pumpkin,0.05859375
cupcake,217139,baking powder,0.03124995,cups,24,1 1/2 teaspoons baking powder,0.00130208125
cupcake,217139,butter,0.75,cups,24,3/4 cup butter,0.03125
cupcake,217139,eggs,6,eggs,24,6 eggs at room temperature,0.25
cupcake,217139,flour,2.25,cups,24,2 1/4 cups all-purpose flour,0.09375
cupcake,217139,fruit,0.0416666,cups,24,2 teaspoons lemon zest,0.0017361083333333333
cupcake,217139,fruit juice,0.25,cups,24,1/4 cup fresh lemon juice,0.010416666666666666
cupcake,217139,salt,0.01041665,cups,24,1/2 teaspoon salt,4.340270833333333e-4
cupcake,217139,sugar,1.25,cups,24,1 1/4 cups white sugar,0.052083333333333336
cupcake,218681,cream cheese,2,cups,12,2 cups cream cheese,0.16666666666666666
cupcake,218681,eggs,3,eggs,12,3 eggs,0.25
cupcake,218681,flour,0.125,cups,12,2 tablespoons flour,0.010416666666666666
cupcake,218681,fruit,0.0013020833333333333,cups,12,pinch of orange zest,1.0850694444444444e-4
cupcake,218681,honey,0.125,cups,12,2 tablespoons maille® honey dijon mustard,0.010416666666666666
cupcake,218681,other,1,cups,12,1 cup creme fraiche,0.08333333333333333
cupcake,218681,sugar,0.75,cups,12,3/4 cup sugar,0.0625
cupcake,219859,baking soda,0.005208325,cups,8,1/4 teaspoon baking soda,6.51040625e-4
